BTC/USDT >> ETH/BTC >>  ETH/USDT
BTC/USDT >> BNB/BTC >>  BNB/USDT
BTC/USDT >> BCC/BTC >>  BCC/USDT
BTC/USDT >> NEO/BTC >>  NEO/USDT
BTC/USDT >> LTC/BTC >>  LTC/USDT
BTC/USDT >> QTUM/BTC >>  QTUM/USDT
BTC/USDT >> ADA/BTC >>  ADA/USDT
BTC/USDT >> XRP/BTC >>  XRP/USDT
BTC/USDT >> EOS/BTC >>  EOS/USDT
BTC/USDT >> BTC/TUSD >>  TUSD/USDT
BTC/USDT >> IOTA/BTC >>  IOTA/USDT
BTC/USDT >> XLM/BTC >>  XLM/USDT
BTC/USDT >> ONT/BTC >>  ONT/USDT
BTC/USDT >> TRX/BTC >>  TRX/USDT
BTC/USDT >> ETC/BTC >>  ETC/USDT
BTC/USDT >> ICX/BTC >>  ICX/USDT
BTC/USDT >> VEN/BTC >>  VEN/USDT
BTC/USDT >> NULS/BTC >>  NULS/USDT
BTC/USDT >> VET/BTC >>  VET/USDT
BTC/USDT >> BTC/PAX >>  PAX/USDT
BTC/USDT >> BCHABC/BTC >>  BCHABC/USDT
BTC/USDT >> BCHSV/BTC >>  BCHSV/USDT
BTC/USDT >> BTC/USDC >>  USDC/USDT
BTC/USDT >> LINK/BTC >>  LINK/USDT
BTC/USDT >> WAVES/BTC >>  WAVES/USDT
BTC/USDT >> BTT/BTC >>  BTT/USDT
BTC/USDT >> BTC/USDS >>  USDS/USDT
BTC/USDT >> ONG/BTC >>  ONG/USDT
BTC/USDT >> HOT/BTC >>  HOT/USDT
BTC/USDT >> ZIL/BTC >>  ZIL/USDT
BTC/USDT >> ZRX/BTC >>  ZRX/USDT
BTC/USDT >> FET/BTC >>  FET/USDT
BTC/USDT >> BAT/BTC >>  BAT/USDT
BTC/USDT >> XMR/BTC >>  XMR/USDT
BTC/USDT >> ZEC/BTC >>  ZEC/USDT
BTC/USDT >> IOST/BTC >>  IOST/USDT
BTC/USDT >> CELR/BTC >>  CELR/USDT
BTC/USDT >> DASH/BTC >>  DASH/USDT
BTC/USDT >> NANO/BTC >>  NANO/USDT
BTC/USDT >> OMG/BTC >>  OMG/USDT
BTC/USDT >> THETA/BTC >>  THETA/USDT
BTC/USDT >> ENJ/BTC >>  ENJ/USDT
BTC/USDT >> MITH/BTC >>  MITH/USDT
